data_coleta;clan_posicao;clan_nome;clan_tag;clan_fame;player_posicao;player_nome;player_tag;player_fame;decks_usados;boat_attacks;deck_1;deck_1_tipo;deck_2;deck_2_tipo;deck_3;deck_3_tipo;deck_4;deck_4_tipo
2026-05-16;1;абвгд;;0;1;унечтожитль3000;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;1;абвгд;;0;2;kiki;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;2;kids with needs;;0;1;kaffr_d00dmaker;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;2;kids with needs;;0;2;xXStilesXx;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;2;kids with needs;;0;3;dukstukfrik;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;3;BLACK「DR4GON;;1300;1;ツ ΔЯ₡ΛↁЄ ☯︎ ㋡ ツ;;1300;4/4;4;Barbarians, Bomb Tower, Bomber, Fire Spirit, Goblins, Rocket, Skeleton Dragons, Wizard;Guerra;Barbarians, Bomb Tower, Bomber, Fire Spirit, Goblins, Mega Minion, Spear Goblins, Wizard;Guerra;Battle Ram, Flying Machine, Goblin Cage, Goblin Hut, Mini P.E.K.K.A, Minions, Mortar, Musketeer;Guerra;Archers, Arrows, Cannon, Electro Spirit, Giant, Knight, Skeletons, Valkyrie;Guerra
2026-05-16;3;BLACK「DR4GON;;1300;2;Hellboy01;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;3;BLACK「DR4GON;;1300;3;natan;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;3;BLACK「DR4GON;;1300;4;sarah maximo;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;3;BLACK「DR4GON;;1300;5;Marcus;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;4;Babayaga;;0;1;OP-OP-GAXHET;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;4;Babayaga;;0;2;Mato;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;4;Babayaga;;0;3;Desëni;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;4;Babayaga;;0;4;General Jani;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;4;Babayaga;;0;5;lindi777;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;5;красная месть!;;0;1;TBou_Z9ITek;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;5;красная месть!;;0;2;nikitka-$$$;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;5;красная месть!;;0;3;voroninvr;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;5;красная месть!;;0;4;клубника;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
2026-05-16;5;красная месть!;;0;5;mister_fish;;0;0/4;0;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;;Deck nao encontrado no log recente;
