Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Таллинн рулит;6300;0;Não;0
2;ScdSqd;4450;0;Não;0
3;Perú;2900;0;Não;0
4;Tropa Do Bruxo;2400;0;Não;0
5;Peruvian;0;0;Não;0
