Ranking;Cla;Jogador;Lutou_Hoje;Ataques_Feitos;Fama_Hoje;Deck_1;Deck_2;Deck_3;Deck_4
1;Perú;PROMESA TM XNL;Nao;0/4;0;Boss Bandit, Electro Dragon, Heal Spirit, Inferno Tower, Lumberjack, Princess, Vines, Witch;Bats, Electro Spirit, Firecracker, Golden Knight, Ice Wizard, Mighty Miner, P.E.K.K.A, Skeletons;Deck nao encontrado no log recente;Deck nao encontrado no log recente
2;Perú;pacho_44;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
3;Perú;DayronYAC;Nao;0/4;0;Barbarian Barrel, Ice Golem, Inferno Tower, Lumberjack, Magic Archer, Skeleton Army, Skeleton Dragons, Valkyrie;Barbarian Barrel, Bats, Fireball, Inferno Tower, Lumberjack, Magic Archer, Skeleton Army, Valkyrie;Deck nao encontrado no log recente;Deck nao encontrado no log recente
4;Perú;BlasJoseph97;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
5;Perú;Gianfranco;Sim;4/4;0;Dark Prince, Electro Wizard, Firecracker, Goblin Cage, Golden Knight, Guards, Ram Rider, The Log;Arrows, Hunter, Mother Witch, P.E.K.K.A, Rascals, Skeleton Army, Skeleton Barrel, Tesla;Deck nao encontrado no log recente;Deck nao encontrado no log recente
1;ScdSqd;Daddy Cool;Sim;1/4;0;Balloon, Bats, Dark Prince, Fireball, Rascals, Spear Goblins, Tombstone, Valkyrie;Archers, Baby Dragon, Battle Ram, Executioner, Fire Spirit, Furnace, Goblin Gang, Prince;Barbarian Barrel, Bomber, Dart Goblin, Mini P.E.K.K.A, Princess, Royal Giant, Skeleton Dragons, Wizard;Electro Spirit, Firecracker, Giant Skeleton, Knight, Minions, Musketeer, Poison, Witch
2;ScdSqd;Raps.pipi;Nao;0/4;0;Bats, Dart Goblin, Knight, Mortar, Prince, Tesla, Valkyrie, Witch;Archers, Arrows, Electro Dragon, Furnace, Golden Knight, Hunter, Inferno Dragon, Royal Ghost;Baby Dragon, Bandit, Electro Wizard, Goblins, Hog Rider, P.E.K.K.A, Wizard, Zap;Cannon, Firecracker, Ice Wizard, Mega Knight, Poison, Royal Hogs, Spear Goblins, Wall Breakers
3;ScdSqd;클로얄노잼;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
4;ScdSqd;laurenziboy X;Nao;0/4;0;Barbarian Barrel, Goblin Barrel, Goblin Gang, Goblin Hut, Knight, Skeleton Dragons, Spear Goblins, Tesla;Archers, Arrows, Electro Giant, Goblin Cage, Mini P.E.K.K.A, Minions, Skeletons, Wizard;Deck nao encontrado no log recente;Deck nao encontrado no log recente
5;ScdSqd;Mario;Nao;0/4;0;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente;Deck nao encontrado no log recente
