Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Таллинн рулит;6665;0;Não;3675
2;Perú;2960;0;Não;600
3;Tropa Do Bruxo;2400;0;Não;800
4;ScdSqd;2329;0;Não;1300
5;Peruvian;0;0;Não;0
