Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;BLACK「DR4GON;9729;0;Não;500
2;абвгд;0;0;Não;0
3;kids with needs;0;0;Não;0
4;Babayaga;0;0;Não;0
5;красная месть!;0;0;Não;0
