Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Таллинн рулит;7422;0;Não;3600
2;ScdSqd;7375;0;Não;3000
3;Perú;4342;0;Não;4400
4;Tropa Do Bruxo;1800;0;Não;1450
5;Peruvian;800;0;Não;0
