Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Perú;0;0;Não;725
2;ScdSqd;0;0;Não;4275
3;Tropa Do Bruxo;0;0;Não;800
4;Peruvian;0;0;Não;0
5;Таллинн рулит;0;0;Não;4450
