Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Таллинн рулит;3328;0;Não;4350
2;ScdSqd;2223;0;Não;2150
3;Perú;1114;0;Não;2600
4;Tropa Do Bruxo;802;0;Não;1350
5;Peruvian;0;0;Não;0
