Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;NORD DE FRANCE;29650;0;Não;0
2;cymru warriors;21650;0;Não;0
3;macondo;20500;0;Não;0
4;Critical THC;10800;0;Não;0
5;Tropa Do Bruxo;3700;0;Não;0
