Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Таллинн рулит;7300;0;Não;0
2;ScdSqd;6050;0;Não;0
3;Perú;3100;0;Não;0
4;Tropa Do Bruxo;3000;0;Não;0
5;Peruvian;0;0;Não;0
