data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
17/03/2026 19:43,Almighty Sam,#V9R08R8L0,0,0,AMERICAN,Vitoria,2,1,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Arrows | Bats | Dart Goblin | Goblin Gang | Goblins | Mega Knight | Minions | Royal Recruits,Arrows | Bats | Inferno Dragon | Little Prince | Mega Knight | Miner | Skeleton Barrel | Valkyrie,1
17/03/2026 19:38,Nuez,#20LRP20VL,0,0,FUERZA ELITE,Vitoria,3,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Arrows | Bats | Dart Goblin | Goblin Gang | Goblins | Mega Knight | Minions | Royal Recruits,Arrows | Battle Ram | Furnace | Goblin Gang | Goblinstein | Inferno Dragon | P.E.K.K.A | Vines,1
17/03/2026 19:35,Mattulius,#2LYUVRCV,0,0,vaccagrassa,Vitoria,3,1,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Arrows | Bats | Dart Goblin | Goblin Gang | Goblins | Mega Knight | Minions | Royal Recruits,Bomber | Dart Goblin | Mega Knight | Miner | Musketeer | Royal Hogs | Skeletons | Zap,1
17/03/2026 19:16,Sr_KURUPI.py,#RR0PJQ99U,0,0,Sem cla,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Arrows | Bats | Dart Goblin | Goblin Gang | Goblins | Mega Knight | Minions | Royal Recruits,Electro Dragon | Elixir Golem | Guards | Magic Archer | P.E.K.K.A | Royal Ghost | The Log | Tornado,1
17/03/2026 14:54,yoyo16,#2009QC2Y29,0,0,Army-French,Derrota,0,3,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Arrows | Bats | Dart Goblin | Goblin Gang | Goblins | Mega Knight | Minions | Royal Recruits,Elixir Golem | Firecracker | Furnace | Mega Knight | Musketeer | Poison | Valkyrie | Witch,1
17/03/2026 10:59,King Goblin,#8QCJPG08U,0,0,SNUS ZGOUGOU FC,Derrota,0,3,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Little Prince | Mega Knight | Minions | Royal Recruits | Wall Breakers,Cannon Cart | Fireball | Goblins | Minions | Mortar | Rascals | Skeleton Barrel | The Log,1
