data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
29/03/2026 21:03,atled,#208LQU2P20,0,0,Dih n clih,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Goblin Barrel | Goblins | Inferno Tower | Knight | Minions | Princess | Rocket | The Log,Battle Ram | Executioner | Knight | Mighty Miner | Mini P.E.K.K.A | Skeleton Army | Skeleton Barrel | The Log,1
29/03/2026 02:23,bell_2,#URRUQRJPL,0,0,KONGMX,Derrota,0,3,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Goblin Barrel | Goblins | Inferno Tower | Knight | Minions | Princess | Rocket | The Log,Cannon | Fireball | Hog Rider | Ice Golem | Ice Spirit | Magic Archer | Skeletons | The Log,1
29/03/2026 01:24,raddy2,#2C899GVG,0,10092,Moon River,Derrota,0,6,0,CW_Duel_1v1,riverRaceDuel,Magic Academy,Balloon | Electro Spirit | Fireball | Fisherman | Golden Knight | Hunter | Lava Hound | Lumberjack | Magic Archer | Mega Knight | Monk | Royal Ghost | Royal Giant | Witch | Wizard | Zappies,Bats | Clone | Electro Dragon | Executioner | Firecracker | Freeze | Giant Skeleton | Ice Spirit | Lumberjack | Mega Knight | Mighty Miner | Mother Witch | Night Witch | Rune Giant | Valkyrie | Witch,1
29/03/2026 01:20,ILOVEBOY,#20PRLPCRCC,0,0,Sem cla,Vitoria,1,0,1,Showdown_Friendly,trail,Legendary Arena,Goblin Barrel | Goblin Gang | Goblins | Inferno Tower | Knight | Minions | Princess | The Log,Bats | Bomb Tower | Fireball | Knight | Miner | Skeleton Barrel | Spear Goblins | Zap,1
29/03/2026 00:49,Taru,#208CJY0VG,0,0,Go Mophobics,Vitoria,2,1,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archer Queen | Dart Goblin | Fireball | Goblin Gang | Minions | Princess | Royal Recruits | Skeleton Barrel,Baby Dragon | Elixir Golem | Fireball | Flying Machine | Goblin Barrel | Goblin Gang | Rascals | Valkyrie,1
29/03/2026 00:45,Trainer Ray,#GJCU29L,0,0,Les Poudrés,Derrota,1,3,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Archer Queen | Dart Goblin | Fireball | Goblin Gang | Minions | Princess | Royal Recruits | Skeleton Barrel,Arrows | Bowler | Giant | Graveyard | Minions | Skeleton Army | Witch | Zap,1
29/03/2026 00:40,Frankys,#2QYYR0CV,0,0,Amigo Meu,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Elite Barbarians | Goblin Barrel | Goblin Gang | Goblins | Inferno Tower | Minions | Princess | The Log,Arrows | Cannon | Knight | Mega Minion | Mini P.E.K.K.A | Poison | Royal Ghost | Valkyrie,1
29/03/2026 00:36,Sánchez ❤,#9UUY89VQC,0,0,❣️clan kari❣️A.,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Elite Barbarians | Goblin Barrel | Goblin Gang | Goblins | Inferno Tower | Minions | Princess | The Log,Bomber | Dark Prince | Fireball | Giant | Inferno Dragon | Prince | Rage | Zap,1
