data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
11/03/2026 02:48,<c6>Jordan,#J282UP0U0,0,0,The Fluent 1s,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Dart Goblin | Fireball | Goblin Demolisher | Ice Spirit | Knight | The Log | Tombstone | X-Bow,1
11/03/2026 02:45,justquit,#20QGV2YRVJ,0,0,Code Brown,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Furnace | Goblin Barrel | Goblin Demolisher | Knight | Rascals | The Log | Tombstone | Vines,1
11/03/2026 02:42,PRO MAX,#8J9UQQ902,0,0,كتيبة الهلاك,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Dart Goblin | Electro Wizard | Goblin Demolisher | Goblin Drill | Golem | Ice Spirit | Tombstone | Zappies,1
11/03/2026 02:38,jhonny,#2VCCLC8QL,0,0,Guatemala Royal,Derrota,0,1,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Goblin Barrel | Goblin Hut | Mortar | Mother Witch | P.E.K.K.A | Rocket | Vines | Wizard,1
11/03/2026 02:33,hans£[,#QR882VY9Q,0,0,Estudio PITIC,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Fireball | Goblin Demolisher | Goblin Hut | Golem | Night Witch | Rage | Rocket | Vines,1
11/03/2026 02:29,Lzo BR,#29JRGVJCQ,0,0,INVICTS BR,Vitoria,3,0,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Executioner | Goblin Hut | Knight | Mortar | Rage | Rocket | The Log | Wizard,1
10/03/2026 23:59,Renard0o,#JLJ2P2VVR,0,0,Sem cla,Derrota,0,3,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Furnace | Goblin Barrel | Goblin Demolisher | Knight | Rascals | The Log | Tombstone | Vines,1
10/03/2026 23:57,luis v xD,#8GCYUQV98,0,0,7EVEN,Derrota,0,1,0,Crazy_Arena,trail,Legendary Arena,Goblin Drill | Goblin Hut | Golem | Graveyard | Mortar | Rocket | Tombstone | Wizard,Electro Spirit | Goblin Hut | Ice Spirit | Knight | Mortar | Rocket | The Log | Wizard,1
10/03/2026 23:44,POI,#YVLP8LVR,0,0,CONQUER TIJUANA,Derrota,0,1,0,Crazy_Arena,trail,Legendary Arena,Barbarian Hut | Giant Snowball | Goblin Hut | Mortar | Rage | Rascals | Rocket | Wizard,Electro Spirit | Giant Snowball | Goblin Hut | Lava Hound | Mortar | Poison | Rocket | Wizard,1
10/03/2026 23:38,Mando,#8Y28YC982,0,0,Clan  #QCG2URYV,Derrota,0,1,0,Crazy_Arena,trail,Legendary Arena,Barbarian Hut | Giant Snowball | Goblin Hut | Mortar | Rage | Rascals | Rocket | Wizard,Electro Spirit | Giant Snowball | Goblin Hut | Ice Spirit | Mortar | Rocket | Royal Delivery | Wizard,1
10/03/2026 23:34,♾️Oscar503™️♾️,#9C9GCRPV8,0,0,YOUNG KINGS♪,Vitoria,3,0,0,Crazy_Arena,trail,Legendary Arena,Barbarian Hut | Giant Snowball | Goblin Hut | Mortar | Rage | Rascals | Rocket | Wizard,Berserker | Goblin Hut | Ice Spirit | Mortar | Rocket | The Log | Vines | Wizard,1
