data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
21/02/2026 16:08,Martinz LM,#RG8VVG0JL,0,11511,TAMXL,Vitoria,3,0,0,7xElixir_Ladder,riverRacePvP,Summit of Heroes,Dart Goblin | Firecracker | Goblin Gang | Goblins | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Cannon | Giant | Knight | Minions | Prince | Vines | Wizard,1
21/02/2026 16:02,jitsu 75,#9UQRRPYG,0,12000,powerofgrayskul,Vitoria,1,0,0,7xElixir_Ladder,riverRacePvP,Summit of Heroes,Barbarian Barrel | Goblin Cage | Goblinstein | Graveyard | Mini P.E.K.K.A | Poison | Royal Delivery | Skeletons,Arrows | Baby Dragon | Dart Goblin | Electro Dragon | Giant Skeleton | Mini P.E.K.K.A | Sparky | Zappies,1
21/02/2026 15:57,HamDog!!!!,#U9R2CVC,0,10238,RaiseHellNZ,Vitoria,1,0,0,7xElixir_Ladder,riverRacePvP,Summit of Heroes,Balloon | Fireball | Golden Knight | Lumberjack | Mega Knight | Princess | Witch | Wizard,Electro Dragon | Electro Giant | Fireball | Flying Machine | Ice Spirit | Mini P.E.K.K.A | Tornado | Witch,1
21/02/2026 15:48,Sarki22,#9UR2QPR9,0,9204,Ocho Reales,Derrota,0,3,0,7xElixir_Ladder,riverRacePvP,Summit of Heroes,Electro Spirit | Fisherman | Hunter | Mighty Miner | Monk | Royal Ghost | Royal Giant | Zappies,Firecracker | Flying Machine | Guards | Hunter | Poison | Ram Rider | The Log | Valkyrie,1
21/02/2026 01:48,El Guapo,#P8QPYC8J,0,0,DODGERS,Derrota,0,3,0,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Furnace | Mighty Miner | Royal Ghost | Royal Recruits,Firecracker | Monk | Skeleton Barrel | Valkyrie,1
21/02/2026 00:49,The pekoso,#GVLPG002L,0,0,BPSTITUSXD,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Arrows | Electro Giant | Executioner | Firecracker | Mirror | Monk | P.E.K.K.A | Tornado,1
21/02/2026 00:46,honor1!,#UGULGPYU8,0,0,Blood Phoenix,Vitoria,2,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Arrows | Balloon | Goblin Gang | Golden Knight | Lumberjack | Mini P.E.K.K.A | P.E.K.K.A | Wizard,1
21/02/2026 00:43,kーご,#VY9PCPCGR,0,0,Sem cla,Derrota,0,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Electro Spirit | Goblin Giant | Goblin Hut | Lightning | Mini P.E.K.K.A | Sparky | The Log | Zap,1
21/02/2026 00:40,BB｜Chamoski,#Y8QPJ9LP,0,0,Sem cla,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Cannon | Goblin Barrel | Goblins | Ice Spirit | Mighty Miner | Princess | Rocket | The Log,1
21/02/2026 00:37,nudelsuppe,#YQ80RYUVC,0,0,Deutschland,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Goblin Barrel | Goblin Gang | Ice Spirit | Inferno Tower | Princess | Rocket | The Log | Valkyrie,1
21/02/2026 00:32,Star-Killer1138,#LPGJQUGP9,0,0,ALBUQUERQUE 503,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Barbarian Barrel | Electro Dragon | Goblin Cage | Goblins | Lightning | Minions | Monk | Ram Rider,1
21/02/2026 00:29,SIUUU,#Q0CPLYUV9,0,0,venezuela,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Earthquake | Electro Spirit | Firecracker | Hog Rider | Knight | Skeletons | Tesla | The Log,1
21/02/2026 00:26,شموخ الفارسة❤️,#R2Q0VUVGY,0,0,Syrian tigers,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spirit Empress | Wall Breakers,Arrows | Firecracker | Goblin Gang | Hog Rider | Inferno Dragon | Mega Knight | Mini P.E.K.K.A | Witch,1
21/02/2026 00:24,匚卂丂卩乇尺匚丨ㄒㄖ,#GVRJVQCL,0,0,EL PLAN ELITE,Derrota,0,3,0,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Electro Spirit | Furnace | Heal Spirit | Little Prince,Knight | Musketeer | Valkyrie | Witch,1
21/02/2026 00:18,AKINCI,#2CCVVUJLU,0,0,Prisoners,Derrota,0,3,0,RampUp_Friendly_EventDeck_4Card,trail,Legendary Arena,Furnace | Heal Spirit | Little Prince | Rune Giant,Executioner | Hog Rider | Knight | Skeletons,1
