data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
19/01/2026 14:59,killah,#V8V8LUP8J,0,0,CocoMelon,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel,Arrows | Barbarian Barrel | Flying Machine | Goblin Cage | Poison | Royal Hogs | Royal Recruits | Zappies,1
19/01/2026 11:24,brian,#2LPJ28J90,0,0,#SkullSquad,Vitoria,3,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel,Archers | Cannon | Hog Rider | Ice Spirit | Knight | Musketeer | The Log | Wall Breakers,1
19/01/2026 11:21,왕자,#2PU2UL8UL,0,0,$CrazyRoyale$,Derrota,0,1,0,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel,Berserker | Electro Spirit | Little Prince | Miner | Poison | Tesla | The Log | Wall Breakers,1
19/01/2026 00:45,Victor U.,#VLR99RR,0,0,EliteSports™,Vitoria,1,0,30,Ranked1v1_NewArena2,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel,Arrows | Bats | Firecracker | Giant | Mini P.E.K.K.A | Skeleton Army | Sparky | Zap,1
