data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
29/01/2026 01:52,China Dog,#9GG0GLP0,0,12000,Ae việt nam,Derrota,0,2,0,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Minions | Royal Recruits | Three Musketeers | Wall Breakers,Arrows | Balloon | Barbarians | Lightning | Mini P.E.K.K.A | Valkyrie | Vines | Wizard,1
29/01/2026 01:35,サむ,#LG0Q0QR22,0,12000,大阪GOD～神々の戦い～,Vitoria,1,0,0,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Minions | Royal Recruits | Three Musketeers | Wall Breakers,Bats | Electro Giant | Minions | P.E.K.K.A | Skeleton King | Skeletons | Tornado | Witch,1
29/01/2026 01:32,艾迪埃 I♥️LEALッ✨™,#P9JY29RC0,0,12000,PonDIOS,Derrota,0,3,0,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers | Wizard,Barbarian Barrel | Battle Ram | Elixir Collector | Golden Knight | Hunter | Ice Golem | Royal Ghost | Three Musketeers,1
29/01/2026 01:26,Javier,#VJJULYP8V,0,11969,chapines-502,Derrota,0,1,0,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Dart Goblin | Elite Barbarians | Goblin Gang | Lightning | Minions | Royal Recruits | Wall Breakers,Bomb Tower | Dark Prince | Goblin Barrel | Golden Knight | Royal Delivery | Sparky | The Log | Witch,1
