data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
08/04/2026 23:45,pepe,#R2RJGYPG,0,0,titanes spain,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Berserker | Electro Spirit | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Archers | Bandit | Dark Prince | Hog Rider | Mega Knight | Minions | The Log | Witch,1
08/04/2026 22:57,Calco,#90LCYG8LQ,0,0,TheFellas,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Baby Dragon | Balloon | Barbarian Barrel | Bowler | Freeze | Inferno Dragon | Lumberjack | Tornado,Barbarian Barrel | Furnace | Goblin Hut | Graveyard | Ice Spirit | Knight | Poison | Skeletons,1
08/04/2026 22:39,assassins,#2LU9GJY0R,0,0,I Love Anime⭐,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Archer Queen | Dart Goblin | Fireball | Goblin Gang | Minions | Princess | Royal Recruits | Skeleton Barrel,Arrows | Baby Dragon | Fireball | Furnace | Goblin Giant | Inferno Dragon | Valkyrie | Witch,1
08/04/2026 00:33,Obito Uchiha,#QG00GRJJ8,0,0,los invencibles,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Berserker | Electro Spirit | Goblins | Minions | Royal Recruits | Skeleton Barrel | Void | Wall Breakers,Baby Dragon | Bandit | Battle Ram | Dark Prince | Elite Barbarians | Giant Snowball | Ice Wizard | Magic Archer,1
08/04/2026 00:28,Gaston Fasito,#20QVPJ8GVY,0,0,☠️NIGHT RAID☠️,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Spear Goblins | Wall Breakers,Cannon | Fireball | Hog Rider | Ice Golem | Ice Spirit | Musketeer | Skeletons | The Log,1
