data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
14/02/2026 21:02,Reed,#PRPGC0R2Q,0,12000,birth men,Derrota,0,3,0,Rage_Ladder,riverRacePvP,Builder's Workshop,Electro Spirit | Fisherman | Hunter | Mighty Miner | Monk | Royal Ghost | Royal Giant | Zappies,Dart Goblin | Firecracker | Goblin Barrel | Inferno Tower | Mega Knight | Skeleton Army | The Log | Valkyrie,1
14/02/2026 20:58,lol,#Y8P0RVY2,0,0,CrazyCanadians,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Boss Bandit | Executioner | Firecracker | Goblins | Lightning | Ram Rider | Royal Ghost | Zap,1
14/02/2026 01:21,rey barva,#UPQ80UQ,0,0,TIQUICIA TEAM,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Furnace | Goblin Hut | Goblins | Ice Golem | Royal Ghost | Skeleton Barrel | The Log | Vines,1
14/02/2026 00:54,ALisset7,#2JURL9VU9,0,0,Sem cla,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Dart Goblin | Goblin Gang | Golden Knight | Hog Rider | Ice Spirit | Mega Knight | The Log | Witch,1
14/02/2026 00:50,nestor11,#VGQJPCYUR,0,0,Hn,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Ghost | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Electro Wizard | Firecracker | Guards | Hog Rider | Prince | Valkyrie | Zap,1
