data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
27/02/2026 23:41,Jade,#2YJUVULL,0,0,magnus,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Arrows | Goblin Barrel | Golden Knight | Minions | Skeleton Army | Sparky | Tombstone | Wizard,1
27/02/2026 00:08,qoloq 7️⃣7️⃣,#2QYPVV9GG,0,0,packet head rod,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers | Wizard,Archer Queen | Bomb Tower | Electro Spirit | Fisherman | Goblin Drill | Golden Knight | Ice Wizard | Royal Delivery,1
27/02/2026 00:04,Evergreen,#99800R9J,0,0,Stealth Home,Derrota,1,2,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Goblin Gang | Goblins | Lightning | Mega Knight | Minions | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Firecracker | Goblin Gang | Goblins | Golden Knight | Royal Recruits | Skeleton Barrel | Wall Breakers,1
