data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
25/01/2026 03:04,WangsGiant,#9QP9CG9P9,0,10324,ClashMeOusside,Derrota,1,2,0,RampUpElixir_Ladder,riverRacePvP,Summit of Heroes,Dart Goblin | Firecracker | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Cannon | Dart Goblin | Goblin Barrel | Goblin Gang | Golden Knight | Hog Rider | Mega Knight,1
25/01/2026 03:01,Caesar,#PQ9YVJQ9,0,10091,VENEZUELA,Vitoria,1,0,0,RampUpElixir_Ladder,riverRacePvP,Summit of Heroes,Barbarian Barrel | Goblin Cage | Goblinstein | Graveyard | Knight | Poison | Royal Delivery | Skeletons,Arrows | Battle Ram | Executioner | Hog Rider | Ice Wizard | Minions | Night Witch | Valkyrie,1
25/01/2026 02:56,Abutaleb CR✨ダガス,#829CQRYR0,0,11723,legend royale,Vitoria,2,1,0,RampUpElixir_Ladder,riverRacePvP,Summit of Heroes,Balloon | Fireball | Golden Knight | Lumberjack | Mega Knight | Princess | Witch | Wizard,Archers | Balloon | Fireball | Furnace | Goblin Barrel | Lumberjack | Royal Recruits | The Log,1
25/01/2026 02:52,Naku,#2GUR0UC8Y,0,11016,Big BB,Derrota,0,1,0,RampUpElixir_Ladder,riverRacePvP,Summit of Heroes,Electro Spirit | Fisherman | Hunter | Mighty Miner | Monk | Royal Ghost | Royal Giant | Zappies,Dark Prince | Electro Wizard | Fireball | Prince | Skeleton Barrel | Tesla | The Log | Wizard,1
