data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
21/04/2026 17:48,Sai,#8Q8J089V0,0,0,ALPHA G00NERS,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Balloon | Electro Wizard | Giant Skeleton | Lumberjack | The Log | Witch | Wizard | Zap,1
21/04/2026 17:47,Hirancho,#8YUGQVGCL,0,0,chopper,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Barbarian Barrel | Electro Spirit | Fireball | Fisherman | Hunter | Royal Ghost | Royal Giant | Skeletons,1
21/04/2026 17:43,Onix,#2U8U2U98,0,12239,DARK,Vitoria,2,1,0,RampUpElixir_Ladder,riverRacePvP,Ultimate Clash Pit,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Arrows | Bomb Tower | Dart Goblin | Executioner | Freeze | Mega Knight | Musketeer | Ram Rider,1
21/04/2026 17:17,Emrullah Sarıca,#QYVQ0QU00,0,13000,TURKIYE,Derrota,0,3,0,RampUpElixir_Ladder,riverRacePvP,Little Prince's Tavern,Archer Queen | Barbarian Barrel | Electro Giant | Goblin Cage | Graveyard | Poison | Royal Hogs | Skeletons,Barbarians | Firecracker | Golem | Lightning | Skeleton Army | Skeletons | Sparky | Wizard,1
21/04/2026 17:15,Johan Segura,#8L8UULG,0,12846,familia hama,Derrota,0,3,0,RampUpElixir_Ladder,riverRacePvP,Ultimate Clash Pit,Balloon | Fireball | Lava Hound | Miner | Rage | Skeleton King | Witch | Wizard,Arrows | Boss Bandit | Firecracker | Furnace | Hog Rider | Hunter | Mega Knight | Spear Goblins,1
21/04/2026 17:12,DOME77,#9JGJ8LL,0,12320,REGNO ITALIANO,Derrota,0,1,0,RampUpElixir_Ladder,riverRacePvP,Ultimate Clash Pit,Electro Spirit | Executioner | Fisherman | Hunter | Monk | Royal Ghost | Royal Giant | Zappies,Fire Spirit | Fireball | Firecracker | Furnace | Hog Rider | Little Prince | P.E.K.K.A | Skeleton Army,1
21/04/2026 13:29,PeterZappia,#92UYPUR9,0,0,blackout,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Barbarians | Firecracker | Giant Skeleton | Guards | Hog Rider | Lightning | Minion Horde | The Log,1
21/04/2026 13:24,Ersid,#J82JG9PYQ,0,0,Sem cla,Vitoria,2,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Arrows | Bats | Giant Skeleton | Knight | Musketeer | Royal Recruits | Skeleton Barrel | Suspicious Bush,1
21/04/2026 03:34,josephシ,#P0Y2J2QLG,0,0,❟❛❟T O B I❟❛❟,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Bats | Electro Wizard | Elite Barbarians | Executioner | Hog Rider | P.E.K.K.A | Skeleton Army | Zap,1
21/04/2026 03:31,우승이,#RGLVU9VLP,0,0,너만의안식처,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Battle Ram | Fireball | Goblin Cage | Ice Wizard | Magic Archer | Mega Minion | Monk | The Log,1
21/04/2026 03:22,jumong,#R8LL29G2Y,0,0,@MladenCR,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dart Goblin | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel | Witch,Executioner | Inferno Tower | Lightning | Mega Knight | Minion Horde | P.E.K.K.A | Witch | Wizard,1
21/04/2026 03:11,Xnx_moyo,#JJL9R88R2,0,0,CHIAPASIONATE,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dart Goblin | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel | Wizard,Arrows | Bandit | Dart Goblin | Skeleton Army | Skeleton Barrel | Skeleton King | Suspicious Bush | Valkyrie,1
