Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;NORD DE FRANCE;31900;0;Não;0
2;macondo;26750;0;Não;0
3;cymru warriors;23600;0;Não;0
4;Critical THC;12450;0;Não;0
5;Tropa Do Bruxo;3700;0;Não;0
