data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
26/04/2026 21:59,クッピー,#Y009V9PLL,0,0,脱パチンコをクラロワで行う会,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel,Cannon | Fireball | Hog Rider | Ice Golem | Ice Spirit | Musketeer | Skeletons | The Log,1
26/04/2026 21:55,❄️BELL CRANEL❄️,#CQVQJ0CP0,0,0,Carrascos CBM,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Bats | Electro Spirit | Magic Archer | Mega Knight | Mirror | Royal Recruits | Skeletons | Zap,Arrows | Cannon | Goblin Gang | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Spirit Empress,1
26/04/2026 21:49,LOTSO,#VUJJYUGL,0,0,tutgang,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Dark Prince | Electro Spirit | Miner | Rocket | Royal Delivery | Skeletons | Tesla | The Log,1
26/04/2026 21:39,Kael,#VGGJ82PGQ,0,0,A Horda,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Bats | Cannon | Knight | Mega Knight | Musketeer | The Log | Wall Breakers,1
26/04/2026 21:36,♡Yuka♡,#89PLP99U8,0,0,japan,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Balloon | Electro Wizard | Guards | Lightning | Lumberjack | Tesla | Valkyrie,1
26/04/2026 21:29,jirem,#9P8CYGUVY,0,0,Madeiros,Vitoria,3,1,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Electro Wizard | Goblin Demolisher | Mega Knight | Monk | Night Witch | Rage | Royal Hogs | Witch,1
26/04/2026 21:26,Kaz,#22YLRUR0R,0,0,504Saints,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Barbarian Barrel | Bats | Boss Bandit | Goblin Drill | Goblin Giant | Heal Spirit | Valkyrie,1
26/04/2026 21:22,DUXY,#CJ9VCLV22,0,0,Biscochos,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Goblins | Lightning | Minions | Royal Recruits | Wall Breakers,Arrows | Bandit | Barbarian Barrel | Bomber | Cannon | Mega Knight | Musketeer | Wall Breakers,1
26/04/2026 20:22,king,#2Q9J8VRU8,0,0,CR-Dawn,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Bandit | Bats | Goblin Gang | Mega Knight | Mighty Miner | Prince | Witch | Zap,Archers | Electro Spirit | Fireball | Knight | Skeletons | Tesla | The Log | X-Bow,1
