data;nome_oponente;tag_oponente;nivel_oponente;trofes_oponente;clan_oponente;resultado;coroas_jogador;coroas_oponente;mudanca_trofes;modo_jogo;tipo_batalha;arena;deck_jogador;deck_oponente;vezes_enfrentado;elixir_vazado_jogador;elixir_vazado_oponente;nivel_torre_jogador;vida_torre_rei_jogador;vida_torre_rei_oponente;vida_torres_princesa_jogador;vida_torres_princesa_oponente;trofes_iniciais_jogador;trofes_finais_jogador;posicao_global_jogador;posicao_global_oponente;nivel_torre_oponente
01/05/2026 17:54;cristian;#YV8QV9R90;0;13148;floripa br;Vitoria;3;0;30;Ladder;PvP;Little Prince's Tavern;Dart Goblin | Goblin Gang | Lumberjack | Magic Archer | Mega Knight | Minions | Royal Recruits | Skeleton Barrel;Arrows | Firecracker | Goblins | Guards | Knight | Mega Knight | Rage | Royal Giant;1;1.08;14.88;0;7299;0;1612 | 3878;0;13146;13176;N/A;N/A;0
01/05/2026 16:46;<c7>starkiler;#98G9CYG8Y;0;1;ste llocailla;Derrota;0;3;0;FloodHounds_Draft;trail;Fisherman's Float;Baby Dragon | Balloon | Electro Dragon | Flying Machine | Lightning | Minions | Phoenix | Void;Arrows | Bats | Inferno Dragon | Lava Hound | Mega Minion | Minion Horde | Rocket | Skeleton Dragons;1;21.56;10.17;0;0;4824;0;3052 | 3052;1;1;N/A;N/A;0
01/05/2026 16:37;Deh_King;#C09Y9C8Q9;0;0;Legend;Vitoria;1;0;1;FloodHounds_Draft;trail;Fisherman's Float;Inferno Dragon | Lava Hound | Minion Horde | Minions | Phoenix | Rocket | Skeleton Dragons | Void;Arrows | Baby Dragon | Balloon | Bats | Electro Dragon | Flying Machine | Lightning | Mega Minion;1;0.55;5.21;0;4824;4824;74 | 2408;1875;0;1;N/A;N/A;0
01/05/2026 16:32;yorni45;#2GUYJYPLQ;0;0;bagreros;Derrota;1;2;0;FloodHounds_Draft;trail;Fisherman's Float;Arrows | Balloon | Inferno Dragon | Lightning | Minion Horde | Minions | Phoenix | Skeleton Dragons;Baby Dragon | Bats | Electro Dragon | Flying Machine | Lava Hound | Mega Minion | Rocket | Void;1;2.21;4.44;0;4824;3373;0;86;0;0;N/A;N/A;0
01/05/2026 16:24;4:20 $;#VYPRP0GQG;0;0;COLOMBIA ACT;Derrota;0;1;0;FloodHounds_Draft;trail;Fisherman's Float;Baby Dragon | Electro Dragon | Inferno Dragon | Lava Hound | Minions | Phoenix | Rocket | Void;Arrows | Balloon | Bats | Flying Machine | Lightning | Mega Minion | Minion Horde | Skeleton Dragons;1;2.15;3.96;0;4824;4824;2178;2302 | 778;0;0;N/A;N/A;0
01/05/2026 16:19;QWExzort;#Q292LRG22;0;0;Team Rus;Derrota;0;1;0;Ranked1v1_NewArena;pathOfLegend;Legendary Arena;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Cannon | Dart Goblin | Goblin Barrel | Ice Spirit | Princess | Skeleton Army | Valkyrie | Wall Breakers;1;1.46;0.84;0;7032;7032;1250;2391 | 2914;0;0;N/A;N/A;0
01/05/2026 16:06;флайзов;#202PQG0QCG;0;0;FlaezClan;Derrota;1;2;0;Ranked1v1_NewArena;pathOfLegend;Legendary Arena;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Barbarian Barrel | Electro Spirit | Fireball | Fisherman | Hunter | Royal Ghost | Royal Giant | Skeletons;1;1.07;2.01;0;7032;2127;0;761;0;0;N/A;N/A;0
01/05/2026 15:58;GGolimpia;#V8U09RRCJ;0;0;ColombiaGold;Vitoria;1;0;30;Ranked1v1_NewArena;pathOfLegend;Legendary Arena;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Fireball | Goblin Barrel | Little Prince | Mega Knight | Princess | Skeletons | Tombstone | Witch;1;2.46;3.0;0;7032;7032;3679 | 3153;1547;0;30;N/A;N/A;0
01/05/2026 15:53;Pablo;#9Q808C2PC;0;11801;ArgentinaLegend;Derrota;0;3;0;CW_Battle_1v1;riverRacePvP;Little Prince's Tavern;Electro Spirit | Executioner | Fisherman | Hunter | Monk | Royal Ghost | Royal Giant | Zappies;Arrows | Baby Dragon | Dart Goblin | Firecracker | Goblin Gang | Mega Knight | Mirror | Royal Hogs;1;12.32;0.82;0;0;7728;0;4858 | 4858;13146;13146;N/A;N/A;0
01/05/2026 15:45;Doodeck;#8L8GPL9UU;0;13095;Gdańsk;Vitoria;1;0;27;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Arrows | Bomber | Electro Dragon | Firecracker | Hog Rider | Mega Knight | Prince | The Log;1;2.01;11.75;0;7626;6722;2554 | 1868;2181;13119;13146;N/A;N/A;0
01/05/2026 15:25;IsabelaLoL;#JRUQGV0JV;0;13099;GH MALAGAMEZ;Vitoria;1;0;30;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Electro Spirit | Knight | Little Prince | Miner | Poison | Skeletons | Tesla | The Log;1;1.82;0.46;0;7728;7572;4562 | 2498;707;13089;13119;N/A;N/A;0
01/05/2026 15:17;srendon17;#YVVPY2QJ0;0;13135;Flavorz;Derrota;1;2;-28;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Bandit | Firecracker | Freeze | Hog Rider | Lumberjack | Skeleton Army | Valkyrie | Wizard;1;1.0;0.0;0;7119;6348;0;2149;13117;13089;N/A;N/A;0
01/05/2026 14:57;<c2>Siegy;#20PR9YR8;0;13127;I Never Lose.;Derrota;0;1;-31;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Barbarian Barrel | Goblin Hut | Graveyard | Ice Wizard | Knight | Poison | Skeletons | Witch;1;1.69;4.28;0;7728;7728;1734;2536 | 2831;13148;13117;N/A;N/A;0
01/05/2026 12:19;bimba;#8QU8YCVJJ;0;13097;Sem cla;Vitoria;3;0;27;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Bats | Fireball | Goblin Gang | Hunter | Inferno Dragon | Mega Knight | Mother Witch | Princess;1;0.46;0.0;0;7728;0;41 | 2522;0;13121;13148;N/A;N/A;0
01/05/2026 12:06;Joaolima;#JCYJ09U9G;0;13096;♓SALVADORES♓;Vitoria;3;1;30;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Archers | Bats | Elixir Golem | Hog Rider | Knight | Mega Knight | Musketeer | Zap;1;1.38;4.1;0;7221;0;3185;0;13091;13121;N/A;N/A;0
