data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
30/04/2026 17:08,mariano,#2GL0VG8GV,0,13007,De los pocos,Vitoria,3,0,30,Ladder,PvP,Little Prince's Tavern,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel,Electro Wizard | Fireball | Golem | Guards | Hog Rider | Mini P.E.K.K.A | The Log | Witch,1
30/04/2026 17:06,P. E. K. K. A.,#2YJ9CR92P,0,13004,RobaMaschia,Derrota,0,1,-5,Ladder,PvP,Little Prince's Tavern,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel,Bowler | Electro Wizard | Fireball | Hog Rider | Tesla | The Log | Valkyrie | Wizard,1
30/04/2026 13:37,Tristmat TV,#LG8RYCC8Y,0,13003,soltys,Vitoria,2,0,32,Ladder,PvP,Little Prince's Tavern,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel,Arrows | Barbarian Barrel | Flying Machine | Goblin Cage | Golden Knight | Royal Hogs | Royal Recruits | Zappies,1
