data;nome_oponente;tag_oponente;nivel_oponente;trofes_oponente;clan_oponente;resultado;coroas_jogador;coroas_oponente;mudanca_trofes;modo_jogo;tipo_batalha;arena;deck_jogador;deck_oponente;vezes_enfrentado;elixir_vazado_jogador;elixir_vazado_oponente;nivel_torre_jogador
01/05/2026 15:58;GGolimpia;#V8U09RRCJ;0;0;ColombiaGold;Vitoria;1;0;30;Ranked1v1_NewArena;pathOfLegend;Legendary Arena;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Fireball | Goblin Barrel | Little Prince | Mega Knight | Princess | Skeletons | Tombstone | Witch;1;2.46;3.0;0
01/05/2026 15:53;Pablo;#9Q808C2PC;0;11801;ArgentinaLegend;Derrota;0;3;0;CW_Battle_1v1;riverRacePvP;Little Prince's Tavern;Electro Spirit | Executioner | Fisherman | Hunter | Monk | Royal Ghost | Royal Giant | Zappies;Arrows | Baby Dragon | Dart Goblin | Firecracker | Goblin Gang | Mega Knight | Mirror | Royal Hogs;1;12.32;0.82;0
01/05/2026 15:45;Doodeck;#8L8GPL9UU;0;13095;Gdańsk;Vitoria;1;0;27;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Arrows | Bomber | Electro Dragon | Firecracker | Hog Rider | Mega Knight | Prince | The Log;1;2.01;11.75;0
01/05/2026 15:25;IsabelaLoL;#JRUQGV0JV;0;13099;GH MALAGAMEZ;Vitoria;1;0;30;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Electro Spirit | Knight | Little Prince | Miner | Poison | Skeletons | Tesla | The Log;1;1.82;0.46;0
01/05/2026 15:17;srendon17;#YVVPY2QJ0;0;13135;Flavorz;Derrota;1;2;-28;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Bandit | Firecracker | Freeze | Hog Rider | Lumberjack | Skeleton Army | Valkyrie | Wizard;1;1.0;0.0;0
01/05/2026 14:57;<c2>Siegy;#20PR9YR8;0;13127;I Never Lose.;Derrota;0;1;-31;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Barbarian Barrel | Goblin Hut | Graveyard | Ice Wizard | Knight | Poison | Skeletons | Witch;1;1.69;4.28;0
01/05/2026 12:19;bimba;#8QU8YCVJJ;0;13097;Sem cla;Vitoria;3;0;27;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Bats | Fireball | Goblin Gang | Hunter | Inferno Dragon | Mega Knight | Mother Witch | Princess;1;0.46;0.0;0
01/05/2026 12:06;Joaolima;#JCYJ09U9G;0;13096;♓SALVADORES♓;Vitoria;3;1;30;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Archers | Bats | Elixir Golem | Hog Rider | Knight | Mega Knight | Musketeer | Zap;1;1.38;4.1;0
30/04/2026 23:21;신나게흔드록바;#8G92YLJ8Q;0;13081;#CountDown;Vitoria;3;0;31;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Cannon | Fireball | Hog Rider | Ice Golem | Ice Spirit | Musketeer | Skeletons | The Log;1;0.55;0.81;0
30/04/2026 23:06;Aycross;#8C2YQQVCP;0;13032;Team GB;Vitoria;2;0;30;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Archers | Arrows | Electro Spirit | Firecracker | Hog Rider | Mini P.E.K.K.A | Royal Hogs | Valkyrie;1;0.83;7.41;0
30/04/2026 17:08;mariano;#2GL0VG8GV;0;13007;De los pocos;Vitoria;3;0;30;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Electro Wizard | Fireball | Golem | Guards | Hog Rider | Mini P.E.K.K.A | The Log | Witch;1;1.26;23.53;0
30/04/2026 17:06;P. E. K. K. A.;#2YJ9CR92P;0;13004;RobaMaschia;Derrota;0;1;-5;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Bowler | Electro Wizard | Fireball | Hog Rider | Tesla | The Log | Valkyrie | Wizard;1;0.36;2.5;0
30/04/2026 13:37;Tristmat TV;#LG8RYCC8Y;0;13003;soltys;Vitoria;2;0;32;Ladder;PvP;Little Prince's Tavern;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Arrows | Barbarian Barrel | Flying Machine | Goblin Cage | Golden Knight | Royal Hogs | Royal Recruits | Zappies;1;2.75;6.41;0
29/04/2026 22:04;Daddy chill;#8CRURP8Y;0;0;DuitCompany;Derrota;0;2;0;Ranked1v1_NewArena;pathOfLegend;Legendary Arena;Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Miner | Minions | Royal Recruits | Skeleton Barrel;Barbarian Barrel | Earthquake | Ice Spirit | Knight | Magic Archer | Royal Delivery | Royal Hogs | Tesla;1;20.41;1.6;0
