Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;dopplerganger;3318;0;Não;0
2;NEXOS;0;0;Não;0
3;CW Kneuzen;0;0;Não;0
4;BLACK「DR4GON;0;0;Não;0
5;DupsisPoP;0;0;Não;0
