Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Velha Guarda;6680;0;Não;1100
2;Tropa Do Bruxo;2800;0;Não;600
3;frijoleros;2400;0;Não;400
4;BARDERO$;1600;0;Não;100
5;Nova eHope;745;0;Não;0
