data_coleta;dia_batalha;conta_tipo;player_tag;player_nome;player_fame;player_posicao;clan_tag;clan_nome;clan_posicao;clan_fame;decks_usados;boat_attacks;deck_1;deck_1_tipo;deck_2;deck_2_tipo;deck_3;deck_3_tipo;deck_4;deck_4_tipo;war_vitorias;war_derrotas;war_medals;war_torre;war_battles_count
2026-05-27;Reset;TOP_GLOBAL;#229GR0U2;~King Carlos~ 7;0;2;#2RGLQ;FURIA MEXICANA;2;0;0;0;Witch, Mega Knight, Archer Queen, Bats, Wall Breakers, Mega Minion, Barbarian Barrel, Skeleton Barrel;RangeBattle;;;;;;;1;0;200;Tower Princess;1
2026-05-27;Reset;#2QR292P;#VP2JYLGYY;Ángelo;100;4;#QG9G9JCG;Perú;1;0;0;0;Mega Knight, Knight, Golden Knight, Goblin Gang, Witch, Barbarian Barrel, Sparky, Fireball;RangeBattle;;;;;;;0;1;100;Tower Princess;1
2026-05-27;Reset;#2220UQQ0UU;#20UCVC0Q0Q;Hellboy01;100;11;#R0JVY98R;BLACK「DR4GON;3;0;0;0;Balloon, Prince, Mini P.E.K.K.A, Musketeer, Spear Goblins, Electro Spirit, Valkyrie, Fire Spirit;RangeBattle;;;;;;;0;1;100;Tower Princess;1
2026-05-27;Reset;#2QR292P;#PLLYPPCVR;R.o.d.r.i.g.o;400;40;#QCLPL9VQ;Tropa Do Bruxo;3;0;0;0;Wizard, Valkyrie, Golden Knight, Royal Hogs, Rocket, Bowler, Goblin Giant, Sparky;RangeBattle;Royal Ghost, Mother Witch, Little Prince, Freeze, Inferno Tower, Rascals, Ram Rider, Goblin Curse;RangeBattle;Royal Giant, Barbarian Hut, Dark Prince, Three Musketeers, Electro Dragon, Royal Delivery, Elite Barbarians, Fireball;RangeBattle;Mega Knight, Minions, Musketeer, Mini P.E.K.K.A, Prince, Mirror, Bandit, Inferno Dragon;RangeBattle;0;4;400;Tower Princess;4
