Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;BLACK「DR4GON;3177;0;Não;125
2;Dead Division;277;0;Não;0
3;2솔;0;0;Não;0
4;يقولون ليلى;0;0;Não;0
5;sexgott69;0;0;Não;0
