Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Сызрань;8500;0;Não;0
2;la famax 2.0;3900;0;Não;0
3;bubabtzkamerad;3200;0;Não;0
4;Tropa Do Bruxo;2650;0;Não;0
5;INVICTUS;2500;0;Não;0
