Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Dead Division;224;0;Não;0
2;BLACK「DR4GON;118;0;Não;0
3;2솔;0;0;Não;0
4;يقولون ليلى;0;0;Não;0
5;sexgott69;0;0;Não;0
