Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Gamingghosts315;2200;0;Não;0
2;BLACK「DR4GON;550;0;Não;0
3;Мегагеи;0;0;Não;0
4;OS SAPEKINHAS;0;0;Não;0
5;Top Resenhas;0;0;Não;0
