data_coleta;dia_batalha;conta_tipo;player_tag;player_nome;player_fame;player_posicao;clan_tag;clan_nome;clan_posicao;clan_fame;decks_usados;boat_attacks;deck_1;deck_1_tipo;deck_2;deck_2_tipo;deck_3;deck_3_tipo;deck_4;deck_4_tipo;war_vitorias;war_derrotas;war_medals;war_torre;war_battles_count
2026-08-21;Dia 1;#2QR292P;#R0U9PG;DomNato;100;1;#QCLPL9VQ;Tropa Do Bruxo;4;600;1;0;;;;;;;;;0;0;0;Tower Princess;0
2026-08-21;Dia 1;#2QR292P;#2GG99009U;Cordis Die;250;4;#RL0VR8LU;bubabtzkamerad;2;2043;2;2;;;;;;;;;0;0;0;Tower Princess;0
2026-08-21;Dia 1;#2QR292P;#8P8YJPQYQ;letzgilln;400;3;#RL0VR8LU;bubabtzkamerad;2;2043;4;4;;;;;;;;;0;0;0;Tower Princess;0
2026-08-21;Dia 1;#2220UQQ0UU;#CC88V098C;spriggie;450;1;#GVGVRQYR;dopplerganger;1;3159;3;0;;;;;;;;;0;0;0;Tower Princess;0
2026-08-21;Dia 1;#2QR292P;#UUR9J90;Влад-и-мир0001;500;4;#RUCC2L;Сызрань;1;3084;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-08-21;Dia 1;#2QR292P;#20PCLQCUC2;vana400;500;5;#RUCC2L;Сызрань;1;3084;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-08-21;Dia 1;#2QR292P;#C82VJQUUC;Nikola;600;3;#RUCC2L;Сызрань;1;3084;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-08-21;Dia 1;#2QR292P;#2VVRUGCJJ;peterlustig;600;2;#RL0VR8LU;bubabtzkamerad;2;2043;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-08-21;Dia 1;#2QR292P;#VPJCGJ0YJ;atlas;700;3;#R9L8P88U;la famax 2.0;3;1159;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-08-21;Dia 1;#2QR292P;#QG2QPQ0Q;Павел Первый;1100;2;#RUCC2L;Сызрань;1;3084;8;0;Furnace, Electro Wizard, Hog Rider, Little Prince, Prince, Ronin, Firecracker, Minions;Barco;Wizard, Witch, Goblin Gang, Mini P.E.K.K.A;Barco;Furnace, Knight, Firecracker, X-Bow, Valkyrie, Skeleton Army, Lumberjack, Elite Barbarians;RangeBattle;Electro Dragon, Balloon, Wizard, Prince, Goblin Gang, Princess, Dart Goblin, Spear Goblins;RangeBattle;4;2;900;Tower Princess;6
2026-08-21;Dia 1;#2QR292P;#29Y8QG98V;jogrosjo;1100;2;#R9L8P88U;la famax 2.0;3;1159;8;0;Barbarians, Furnace, Skeleton Barrel, Magic Archer, Guards, Poison, Bandit, Ram Rider;RangeBattle;Firecracker, Dark Prince, Executioner, Miner, Dart Goblin, Goblins, Electro Dragon, Void;RangeBattle;Valkyrie, Musketeer, Baby Dragon, Fireball, Archers, Berserker, Flying Machine, Prince;RangeBattle;Lumberjack, Knight, Wizard, Skeleton Army, Hog Rider, Witch, Arrows, Goblin Barrel;RangeBattle;2;2;600;Tower Princess;4
2026-08-21;Dia 1;TOP_GLOBAL;#PQ8CCVU98;Nima;1200;4;#P2P2Y880;! ShocK-13 !;5;835;8;0;Goblin Giant, Boss Bandit, Witch, Bomb Tower, Dark Prince, Wizard, Valkyrie, Zap;RangeBattle;Furnace, Tombstone, Berserker, Bats, Lightning, Skeletons, Electro Spirit, Arrows;Duelo;Princess, Goblin Barrel, Knight, Ice Spirit, Rocket, The Log, Inferno Tower, Goblin Gang;Duelo;P.E.K.K.A, Golden Knight, Battle Ram, Skeleton Army, Skeleton Dragons, Fireball, Electro Wizard, Giant Snowball;RangeBattle;0;4;400;Tower Princess;3
2026-08-21;Dia 1;TOP_GLOBAL;#R02PUVPP8;Intrínseco;1200;5;#P2P2Y880;! ShocK-13 !;5;835;8;0;Zap, Golden Knight, Princess, Cannon, Witch, Arrows, Electro Giant, Ice Spirit;Duelo;Firecracker, Tombstone, Electro Dragon, Golem, Tornado, Barbarian Barrel, Lumberjack, Ronin;Duelo;Elite Barbarians, Berserker, Musketeer, Magic Archer, Rune Giant, Cannon Cart, Electro Spirit, P.E.K.K.A;Duelo;Archers, Valkyrie, Goblin Cage, Flying Machine, X-Bow, Wizard, Goblin Gang, Mega Minion;RangeBattle;3;0;700;Tower Princess;2
2026-08-21;Dia 1;#2QR292P;#UUPV00L2C;Николай Первый;1200;1;#RUCC2L;Сызрань;1;3084;8;0;Executioner, Balloon, Skeleton Army, Bats, Freeze, Flying Machine, P.E.K.K.A, Hog Rider;RangeBattle;Witch, Mega Minion, Mega Knight, Goblin Cage, Dark Prince, Bomber, Arrows, Dart Goblin;RangeBattle;Archers, Barbarians, Firecracker, Electro Wizard, Giant, Fireball, Knight, Prince;RangeBattle;Valkyrie, Mini P.E.K.K.A, Musketeer, Battle Ram, Minions, Spear Goblins, Goblin Hut, Wizard;RangeBattle;1;3;500;Tower Princess;4
