Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;IRAN SOLID;9451;0;Não;3900
2;peru;5406;0;Não;4525
3;Orcos Samurai;3537;0;Não;4350
4;28 royale 29;2981;0;Não;2300
5;Tropa Do Bruxo;1870;0;Não;0
