Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Velha Guarda;3340;0;Não;1250
2;frijoleros;1800;0;Não;500
3;Tropa Do Bruxo;1000;0;Não;600
4;BARDERO$;600;0;Não;350
5;Nova eHope;202;0;Não;0
