Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;www.geppetto.sk;7300;0;Não;0
2;Donations 2.0;5500;0;Não;0
3;TITA;4700;0;Não;0
4;TESCHIO NERO;2700;0;Não;0
5;Tropa Do Bruxo;200;0;Não;0
