data_coleta;dia_batalha;conta_tipo;posicao;clan_nome;clan_tag;fama_atual;pontos_reparo;finalizado;pontos_periodo
2026-06-05;Dia 1;principal;2;IRAN SOLID;#99V9V22C;1888;0;Não;2900
2026-06-05;Dia 1;principal;1;peru;#GR8UGRVJ;3236;0;Não;3750
2026-06-04;Reset;secundaria;5;красная месть!;#RUQJ0LLG;0;0;Não;0
2026-06-04;Reset;secundaria;4;kids with needs;#GL980GCG;0;0;Não;0
2026-06-04;Reset;secundaria;3;абвгд;#QUGULGYC;0;0;Não;0
2026-06-04;Reset;secundaria;2;Babayaga;#R8JUVGPP;300;0;Não;0
2026-06-04;Reset;secundaria;1;BLACK「DR4GON;#R0JVY98R;2450;0;Não;0
2026-06-04;Reset;principal;5;Peruvian;#G8P20CCY;0;0;Não;0
2026-06-04;Reset;principal;4;Tropa Do Bruxo;#QCLPL9VQ;9900;0;Não;0
2026-06-04;Reset;principal;3;Perú;#QG9G9JCG;11600;0;Não;0
2026-06-04;Reset;principal;2;ScdSqd;#90P2LL8Y;18950;0;Não;0
2026-06-04;Reset;principal;1;Таллинн рулит;#2YUCYQPC;20500;0;Não;0
2026-06-03;Reset;secundaria;5;красная месть!;#RUQJ0LLG;0;0;Não;0
2026-06-03;Reset;secundaria;4;kids with needs;#GL980GCG;0;0;Não;0
2026-06-03;Reset;secundaria;3;абвгд;#QUGULGYC;0;0;Não;0
2026-06-03;Reset;secundaria;2;Babayaga;#R8JUVGPP;300;0;Não;0
2026-06-03;Reset;secundaria;1;BLACK「DR4GON;#R0JVY98R;2450;0;Não;0
2026-06-03;Reset;principal;5;Peruvian;#G8P20CCY;0;0;Não;0
2026-06-03;Reset;principal;4;Tropa Do Bruxo;#QCLPL9VQ;9900;0;Não;0
2026-06-03;Reset;principal;3;Perú;#QG9G9JCG;11600;0;Não;0
2026-06-03;Reset;principal;2;ScdSqd;#90P2LL8Y;18950;0;Não;0
2026-06-03;Reset;principal;1;Таллинн рулит;#2YUCYQPC;20500;0;Não;0
2026-05-31;Dia 3;secundaria;5;красная месть!;#RUQJ0LLG;0;0;Não;0
2026-05-31;Dia 3;secundaria;4;kids with needs;#GL980GCG;0;0;Não;0
2026-05-31;Dia 3;secundaria;3;абвгд;#QUGULGYC;0;0;Não;0
2026-05-31;Dia 3;secundaria;2;Babayaga;#R8JUVGPP;300;0;Não;0
2026-05-31;Dia 3;secundaria;1;BLACK「DR4GON;#R0JVY98R;2450;0;Não;0
2026-05-31;Dia 3;principal;5;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-31;Dia 3;principal;4;Tropa Do Bruxo;#QCLPL9VQ;9900;0;Não;0
2026-05-31;Dia 3;principal;3;Perú;#QG9G9JCG;11600;0;Não;0
2026-05-31;Dia 3;principal;2;ScdSqd;#90P2LL8Y;18950;0;Não;0
2026-05-31;Dia 3;principal;1;Таллинн рулит;#2YUCYQPC;20500;0;Não;0
2026-05-30;Dia 2;secundaria;5;красная месть!;#RUQJ0LLG;0;0;Não;0
2026-05-30;Dia 2;secundaria;4;kids with needs;#GL980GCG;0;0;Não;0
2026-05-30;Dia 2;secundaria;3;абвгд;#QUGULGYC;0;0;Não;0
2026-05-30;Dia 2;secundaria;2;Babayaga;#R8JUVGPP;300;0;Não;0
2026-05-30;Dia 2;secundaria;1;BLACK「DR4GON;#R0JVY98R;1800;0;Não;0
2026-05-30;Dia 2;principal;5;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-30;Dia 2;principal;4;Tropa Do Bruxo;#QCLPL9VQ;7600;0;Não;0
2026-05-30;Dia 2;principal;3;Perú;#QG9G9JCG;8450;0;Não;0
2026-05-30;Dia 2;principal;2;ScdSqd;#90P2LL8Y;12650;0;Não;0
2026-05-30;Dia 2;principal;1;Таллинн рулит;#2YUCYQPC;15100;0;Não;0
2026-05-29;Dia 1;secundaria;5;красная месть!;#RUQJ0LLG;0;0;Não;0
2026-05-29;Dia 1;secundaria;4;kids with needs;#GL980GCG;0;0;Não;0
2026-05-29;Dia 1;secundaria;3;абвгд;#QUGULGYC;0;0;Não;0
2026-05-29;Dia 1;secundaria;2;Babayaga;#R8JUVGPP;300;0;Não;0
2026-05-29;Dia 1;secundaria;1;BLACK「DR4GON;#R0JVY98R;1800;0;Não;0
2026-05-29;Dia 1;principal;5;Peruvian;#G8P20CCY;0;0;Não;0
2026-05-29;Dia 1;principal;4;Tropa Do Bruxo;#QCLPL9VQ;4650;0;Não;0
2026-05-29;Dia 1;principal;3;Perú;#QG9G9JCG;5150;0;Não;0
2026-05-29;Dia 1;principal;2;ScdSqd;#90P2LL8Y;8250;0;Não;0
2026-05-29;Dia 1;principal;1;Таллинн рулит;#2YUCYQPC;11100;0;Não;0
