Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;bubabtzkamerad;7533;0;Não;2400
2;Сызрань;6368;0;Não;2300
3;la famax 2.0;3877;0;Não;1300
4;Tropa Do Bruxo;2600;0;Não;400
5;INVICTUS;0;0;Não;0
