data_coleta;dia_batalha;conta_tipo;player_tag;player_nome;player_fame;player_posicao;clan_tag;clan_nome;clan_posicao;clan_fame;decks_usados;boat_attacks;deck_1;deck_1_tipo;deck_2;deck_2_tipo;deck_3;deck_3_tipo;deck_4;deck_4_tipo;war_vitorias;war_derrotas;war_medals;war_torre;war_battles_count
2026-07-03;Dia 1;#2QR292P;#P9YPVUYRG;chey0 clas;200;5;#LLJPJ2JQ;28 royale 29;3;3600;2;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-03;Dia 1;#2QR292P;#CCRUUJ00;alexia;500;4;#YYG9V0VC;Orcos Samurai;4;3600;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-03;Dia 1;#2QR292P;#L8GYPCRUJ;Efiend;550;5;#GR8UGRVJ;peru;2;5350;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-03;Dia 1;#2QR292P;#GU2CU8JY9;joseluis;600;2;#GR8UGRVJ;peru;2;5350;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-03;Dia 1;#2QR292P;#JGLQVVP9L;GDAlex18;600;3;#GR8UGRVJ;peru;2;5350;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-03;Dia 1;#2QR292P;#JC22Q0QL;JL;600;4;#GR8UGRVJ;peru;2;5350;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-03;Dia 1;#2QR292P;#GVGUGL0YU;smoking;600;4;#LLJPJ2JQ;28 royale 29;3;3600;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-03;Dia 1;#2QR292P;#UP8LGP29P;coras;700;1;#GR8UGRVJ;peru;2;5350;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-03;Dia 1;#2220UQQ0UU;#20UCVC0Q0Q;Hellboy01;700;1;#R0JVY98R;BLACK「DR4GON;1;700;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-03;Dia 1;#2QR292P;#2GR9VJ8V8;MAHDI CR7;800;4;#99V9V22C;IRAN SOLID;1;10800;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-03;Dia 1;#2QR292P;#20LYP88UUL;corona777;800;5;#99V9V22C;IRAN SOLID;1;10800;6;0;Valkyrie, Knight, Tesla, Giant Skeleton, Executioner, Furnace, Sparky, Bandit;RangeBattle;Wizard, Dark Prince, Golden Knight, Bomb Tower, Goblin Barrel, Spirit Empress, Princess, Skeleton Barrel;RangeBattle;Witch, Firecracker, Mega Knight, Berserker, Dart Goblin, Hog Rider, The Log, Goblin Gang;RangeBattle;;;0;3;300;Tower Princess;3
2026-07-03;Dia 1;#2QR292P;#2J82JYVRV;CalonSoler;800;3;#YYG9V0VC;Orcos Samurai;4;3600;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-03;Dia 1;#2QR292P;#JGQ0YQ0J;KickboxinG;900;2;#LLJPJ2JQ;28 royale 29;3;3600;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-07-03;Dia 1;#2QR292P;#CQJYV08QJ;wosito;900;3;#LLJPJ2JQ;28 royale 29;3;3600;5;0;Cannon, Golden Knight, Skeleton Army, Giant Snowball, Mother Witch, Knight, Mega Minion, Miner;RangeBattle;;;;;;;1;0;200;Tower Princess;1
2026-07-03;Dia 1;#2QR292P;#V9L9UCLYG;marionatex 223;1000;1;#LLJPJ2JQ;28 royale 29;3;3600;8;0;P.E.K.K.A, Golden Knight, Knight, Firecracker, Tornado, Goblin Curse, Ice Spirit, Rage;RangeBattle;Lumberjack, Monk, Wizard, The Log, Cannon, Goblin Gang, Hunter, Ice Wizard;RangeBattle;Dart Goblin, Mighty Miner, Zap, Tesla, Electro Spirit, Bowler, Barbarian Barrel, Valkyrie;RangeBattle;Battle Ram, Musketeer, Mega Knight, Fireball, Giant Snowball, Archers, Mini P.E.K.K.A, Skeleton Army;RangeBattle;1;3;500;Tower Princess;4
2026-07-03;Dia 1;#2QR292P;#LC90JC98;cristian;1100;2;#YYG9V0VC;Orcos Samurai;4;3600;8;0;Firecracker, Little Prince, Electro Dragon, Mega Knight, Musketeer, Hog Rider, Zap, Ram Rider;RangeBattle;Archers, Executioner, Royal Giant, Witch, P.E.K.K.A, Valkyrie, Skeleton Army, Wall Breakers;RangeBattle;Golem, Arrows, Skeleton Barrel, Wizard, Magic Archer, Dart Goblin, Mini P.E.K.K.A, Poison;RangeBattle;Giant, Princess, Goblin Gang, Goblin Barrel, Bomber, Sparky, Inferno Dragon, Bats;RangeBattle;2;2;600;Tower Princess;4
2026-07-03;Dia 1;#2QR292P;#GJQYGV028;daniL;1150;3;#99V9V22C;IRAN SOLID;1;10800;8;0;Royal Giant, Boss Bandit, Golden Knight, Dart Goblin, Witch, Princess, Arrows, Barbarian Barrel;Duelo;Firecracker, Mega Knight, Knight, Mega Minion, Executioner, Guards, Bomber, Poison;Duelo;Dark Prince, Wall Breakers, Skeleton Barrel, Tornado, Elixir Golem, Cannon, Tesla, Royal Hogs;Duelo;Valkyrie, Hog Rider, Baby Dragon, Fireball, Skeleton Army, Rage, Mirror, Skeleton Dragons;RangeBattle;0;3;300;Tower Princess;2
2026-07-03;Dia 1;#2QR292P;#JVGU0Q2Y9;Salvix;1200;1;#YYG9V0VC;Orcos Samurai;4;3600;8;0;Valkyrie, Mega Knight, Skeleton King, Executioner, Electro Wizard, Princess, Firecracker, Elixir Golem;RangeBattle;Dart Goblin, Wizard, Magic Archer, Inferno Tower, Goblin Barrel, Skeleton Dragons, Prince, Ram Rider;RangeBattle;Royal Hogs, Dark Prince, Skeleton Barrel, Royal Ghost, Tesla, Minion Horde, Arrows, Elite Barbarians;RangeBattle;Archers, P.E.K.K.A, Mini P.E.K.K.A, Fireball, Baby Dragon, Skeleton Army, Knight, Witch;RangeBattle;3;1;700;Tower Princess;4
2026-07-03;Dia 1;#2QR292P;#8VC2VLUC2;vahid;1300;1;#99V9V22C;IRAN SOLID;1;10800;8;0;Valkyrie, Firecracker, Fire Spirit, Dark Prince, Elite Barbarians, Royal Recruits, Goblin Gang, Baby Dragon;RangeBattle;Mini P.E.K.K.A, Boss Bandit, Electro Giant, Hunter, Minions, Zap, Guards, Furnace;RangeBattle;Mega Knight, Wizard, Balloon, Minion Horde, Witch, Fireball, Freeze, Prince;Duelo;P.E.K.K.A, Lumberjack, Dart Goblin, Arrows, Electro Wizard, Poison, Executioner, Rage;Duelo;3;1;800;Tower Princess;3
2026-07-03;Dia 1;#2QR292P;#28R2LQC88;Hulk!;1300;2;#99V9V22C;IRAN SOLID;1;10800;8;0;Electro Dragon, Skeleton King, Bowler, Fireball, Wizard, Goblin Barrel, Royal Giant, Goblin Gang;RangeBattle;Valkyrie, Giant, Inferno Dragon, Dart Goblin, Magic Archer, Witch, Tombstone, Lightning;RangeBattle;Mega Knight, Golden Knight, Executioner, Archers, Poison, Princess, Royal Recruits, Musketeer;RangeBattle;Lumberjack, Dark Prince, Knight, Three Musketeers, Arrows, Skeleton Dragons, Night Witch, Golem;RangeBattle;3;1;700;Tower Princess;4
2026-07-03;Dia 1;TOP_GLOBAL;#9QUVUL2LL;Captain Levi;1400;5;#9U82JJ0Y;TheAddictedOnes;3;42800;8;0;Furnace, Musketeer, Mega Knight, Knight, Poison, Hog Rider, Giant Snowball, Goblin Hut;RangeBattle;Witch, Mega Minion, Lumberjack, Arrows, Tesla, Golem, Mini P.E.K.K.A, Lightning;RangeBattle;Barbarians, Phoenix, Electro Dragon, Elixir Golem, Battle Healer, Tornado, Rage, Void;Duelo;Battle Ram, P.E.K.K.A, Wizard, Bandit, Zap, Electro Wizard, Cannon, Fireball;Duelo;3;1;800;Tower Princess;3
2026-07-03;Dia 1;TOP_GLOBAL;#88U20820U;TuRkoErTan66;1400;5;#9LVQLR;Band of Adultes;4;43950;7;0;Inferno Dragon, Ice Golem, Bowler, Skeleton Dragons, Tornado, Freeze, Goblin Cage, Graveyard;Duelo;Royal Hogs, Archer Queen, Tesla, Earthquake, Ice Spirit, Goblins, Royal Delivery, The Log;Duelo;Royal Giant, Barbarian Barrel, Royal Ghost, Hunter, Fireball, Skeletons, Electro Spirit, Fisherman;Duelo;;;2;0;500;Tower Princess;1
2026-07-03;Dia 1;TOP_GLOBAL;#LQ20VGY;AM ⚡️ HAZ;1450;3;#9U82JJ0Y;TheAddictedOnes;3;42800;8;0;Witch, Mega Minion, Goblin Giant, Giant Skeleton, Zappies, Arrows, Goblin Gang, The Log;RangeBattle;Furnace, Mini P.E.K.K.A, Royal Recruits, Musketeer, Bats, Vines, Barbarian Barrel, Dark Prince;Duelo;Mega Knight, Magic Archer, Royal Ghost, Skeleton Barrel, Skeleton Dragons, Prince, Firecracker, Rage;Duelo;Royal Giant, Wizard, Valkyrie, Goblins, Minions, Knight, Goblin Barrel, Zap;Duelo;3;0;700;Tower Princess;2
2026-07-03;Dia 1;TOP_GLOBAL;#9L992LRRV;Lobo;1450;4;#9U82JJ0Y;TheAddictedOnes;3;42800;8;0;Bomber, Knight, Electro Dragon, Tornado, Lumberjack, Skeleton Dragons, Elixir Collector, Golem;RangeBattle;Goblin Cage, Barbarian Barrel, Royal Recruits, Furnace, Flying Machine, Zappies, Fireball, Royal Hogs;Duelo;Bats, Archer Queen, Mega Knight, Wall Breakers, Bandit, Goblin Gang, Arrows, Prince;Duelo;Battle Ram, Boss Bandit, P.E.K.K.A, Zap, Royal Ghost, Magic Archer, Electro Wizard, Poison;Duelo;1;2;400;Tower Princess;2
2026-07-03;Dia 1;TOP_GLOBAL;#R9QQ00PR;Guillermiento;1450;4;#9LVQLR;Band of Adultes;4;43950;8;0;Goblin Cage, Golden Knight, Inferno Dragon, Bowler, Arrows, Zappies, Freeze, Graveyard;RangeBattle;Skeleton Barrel, Skeleton King, Skeleton Army, Dart Goblin, Fire Spirit, Suspicious Bush, Vines, Mother Witch;Duelo;Mega Knight, Little Prince, Royal Ghost, Goblins, Furnace, Giant Snowball, Ram Rider, Lightning;Duelo;Valkyrie, Archer Queen, Bats, Mortar, Skeletons, Electro Spirit, Miner, Fireball;Duelo;1;2;400;Tower Princess;2
2026-07-03;Dia 1;TOP_GLOBAL;#89YRLY9J;Pudgy Penguins;1500;5;#L9VRJ;Calalas España;1;47700;8;0;Battle Ram, Wizard, Royal Ghost, Giant Skeleton, Mother Witch, Vines, Zappies, Barbarian Barrel;RangeBattle;Lumberjack, Balloon, Executioner, Skeleton Army, Skeletons, Freeze, The Log, Cannon;RangeBattle;Musketeer, Giant, Giant Snowball, Graveyard, Night Witch, Bowler, Guards, Arrows;RangeBattle;;;2;1;500;Tower Princess;3
2026-07-03;Dia 1;TOP_GLOBAL;#U00RQC20Y;Recon❤️Noppi;1500;1;#9U82JJ0Y;TheAddictedOnes;3;42800;8;0;Furnace, Bowler, Knight, Giant Snowball, Goblin Hut, Graveyard, Fire Spirit, Poison;RangeBattle;Firecracker, Mighty Miner, Tesla, Earthquake, Electro Spirit, Hog Rider, Skeletons, The Log;Duelo;Mega Knight, Balloon, Executioner, Cannon, Tornado, Vines, Miner, Guards;Duelo;Battle Ram, Wizard, Lumberjack, Barbarian Barrel, Dark Prince, Fireball, Giant Skeleton, Zappies;Duelo;2;1;600;Tower Princess;2
2026-07-03;Dia 1;TOP_GLOBAL;#8UV9CPL2V;Torre the Great;1500;2;#9U82JJ0Y;TheAddictedOnes;3;42800;8;0;Inferno Dragon, Magic Archer, Witch, Battle Healer, Lightning, Golem, Bomb Tower, Vines;RangeBattle;Skeleton Barrel, Goblins, Royal Ghost, Suspicious Bush, Rocket, Dart Goblin, Rascals, The Log;RangeBattle;Lumberjack, Mega Minion, Goblin Cage, Poison, Baby Dragon, Flying Machine, Barbarian Barrel, Battle Ram;Duelo;Firecracker, Golden Knight, Furnace, Royal Hogs, Fireball, Cannon, Royal Recruits, Arrows;Duelo;3;1;800;Tower Princess;3
2026-07-03;Dia 1;TOP_GLOBAL;#8J8VPG8VQ;✨️ManuBait✨️;1500;3;#9LVQLR;Band of Adultes;4;43950;8;0;Musketeer, Giant, Bowler, Graveyard, Giant Snowball, Arrows, Night Witch, Guards;RangeBattle;Minion Horde, Goblins, Bats, Skeleton Barrel, Mega Knight, Goblin Gang, Rage, Miner;RangeBattle;Goblin Barrel, Knight, Skeleton Army, Wall Breakers, Dart Goblin, Princess, Electro Spirit, Cannon;Duelo;Royal Hogs, Wizard, Royal Ghost, Lightning, Barbarian Barrel, Skeletons, Ice Spirit, Goblin Hut;Duelo;2;2;600;Tower Princess;3
