Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;TESCHIO NERO;1100;0;Não;0
2;TITA;950;0;Não;0
3;www.geppetto.sk;800;0;Não;0
4;Donations 2.0;400;0;Não;0
5;Tropa Do Bruxo;0;0;Não;0
