Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Gamingghosts315;900;0;Não;0
2;Мегагеи;0;0;Não;0
3;BLACK「DR4GON;0;0;Não;0
4;OS SAPEKINHAS;0;0;Não;0
5;Top Resenhas;0;0;Não;0
