Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;BLACK「DR4GON;3112;0;Não;0
2;Мегагеи;0;0;Não;0
3;OS SAPEKINHAS;0;0;Não;0
4;Gamingghosts315;0;0;Não;0
5;Top Resenhas;0;0;Não;0
