Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Таллинн рулит;5453;0;Não;3175
2;ScdSqd;4351;0;Não;4950
3;Perú;3264;0;Não;3025
4;Tropa Do Bruxo;1200;0;Não;700
5;Peruvian;400;0;Não;75
