Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;BLACK「DR4GON;3106;0;Não;750
2;bludíci;118;0;Não;0
3;Brick Bronze;0;0;Não;0
4;pichulotote;0;0;Não;0
5;양지중11;0;0;Não;0
