Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;ScdSqd;3275;0;Não;2375
2;Таллинн рулит;2153;0;Não;4725
3;Perú;1277;0;Não;2575
4;Tropa Do Bruxo;600;0;Não;1150
5;Peruvian;0;0;Não;200
