Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;абвгд;0;0;Não;0
2;kids with needs;0;0;Não;0
3;BLACK「DR4GON;0;0;Não;500
4;Babayaga;0;0;Não;0
5;красная месть!;0;0;Não;0
