Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;BLACK「DR4GON;3106;0;Não;0
2;Gamingghosts315;3000;0;Não;0
3;Top Resenhas;1800;0;Não;0
4;Мегагеи;0;0;Não;0
5;OS SAPEKINHAS;0;0;Não;0
