data_coleta;dia_batalha;conta_tipo;player_tag;player_nome;player_fame;player_posicao;clan_tag;clan_nome;clan_posicao;clan_fame;decks_usados;boat_attacks;deck_1;deck_1_tipo;deck_2;deck_2_tipo;deck_3;deck_3_tipo;deck_4;deck_4_tipo;war_vitorias;war_derrotas;war_medals;war_torre;war_battles_count
2026-06-13;Dia 2;#2QR292P;#2QR292P;ツ ︻デ═一⟿ΔЯ₡λↁΣ☯︎;100;4;#QCLPL9VQ;Tropa Do Bruxo;5;912;1;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2220UQQ0UU;#800RQVCU;felipe;200;1;#R0JVY98R;BLACK「DR4GON;2;0;2;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#9GL20YQG;♤Jun^_^♤;400;5;#LLJPJ2JQ;28 royale 29;4;1568;4;4;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#88JYV08L;Kzduardo;450;3;#QCLPL9VQ;Tropa Do Bruxo;5;912;4;4;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#GGV0U2UPQ;cratos;675;2;#QCLPL9VQ;Tropa Do Bruxo;5;912;7;7;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#299V0CVJC;Geova;700;3;#LLJPJ2JQ;28 royale 29;4;1568;5;4;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#LCRJPRR2Q;alex;700;4;#LLJPJ2JQ;28 royale 29;4;1568;4;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#29GLL9R02;BybyZx;700;1;#QCLPL9VQ;Tropa Do Bruxo;5;912;5;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#JJ92QL9Q2;Baldolino87;950;5;#GR8UGRVJ;peru;1;5225;8;8;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#JC22Q0QL;JL;1000;4;#GR8UGRVJ;peru;1;5225;7;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#R8YLQPYJ;باغ تره کار;1100;5;#99V9V22C;IRAN SOLID;2;4968;9;0;Mega Knight, Electro Wizard, Tesla, Goblin Barrel, Fireball, Witch, Dark Prince, Skeleton Army;RangeBattle;;;;;;;0;1;100;Tower Princess;1
2026-06-13;Dia 2;#2QR292P;#VUP0UUQGY;lufe;1200;3;#GR8UGRVJ;peru;1;5225;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#8VC2VLUC2;vahid;1200;4;#99V9V22C;IRAN SOLID;2;4968;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#JVGU0Q2Y9;Salvix;1200;5;#YYG9V0VC;Orcos Samurai;3;2268;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#PPG8JCQRG;Ridk;1200;2;#LLJPJ2JQ;28 royale 29;4;1568;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#CL80Y2GLU;ghazaleh;1300;3;#99V9V22C;IRAN SOLID;2;4968;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#LC90JC98;cristian;1300;4;#YYG9V0VC;Orcos Samurai;3;2268;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#L8GYPCRUJ;Efiend;1350;2;#GR8UGRVJ;peru;1;5225;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#2GLGURJCL;PTV_gravity;1350;3;#YYG9V0VC;Orcos Samurai;3;2268;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#2VQL08V9V;sandia;1400;2;#YYG9V0VC;Orcos Samurai;3;2268;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#CQJYV08QJ;wosito;1400;1;#LLJPJ2JQ;28 royale 29;4;1568;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#2GR9VJ8V8;MAHDI CR7;1450;2;#99V9V22C;IRAN SOLID;2;4968;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#UP8LGP29P;coras;1600;1;#GR8UGRVJ;peru;1;5225;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;TOP_GLOBAL;#2RL2UU8V;DELU_02;1700;2;#8UJ2UUJ8;#MuUuKaNs!!;2;6870;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;TOP_GLOBAL;#YG0LVJ9;Rockyplanet02;1700;3;#8UJ2UUJ8;#MuUuKaNs!!;2;6870;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;TOP_GLOBAL;#9QJRCQPQ;Trocca;1700;4;#8UJ2UUJ8;#MuUuKaNs!!;2;6870;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;TOP_GLOBAL;#2QCY9U0UP;STE THE KING;1700;5;#8UJ2UUJ8;#MuUuKaNs!!;2;6870;8;0;;;;;;;;;0;0;0;Tower Princess;0
2026-06-13;Dia 2;#2QR292P;#Y8GQ9089Y;ODiN;1700;1;#99V9V22C;IRAN SOLID;2;4968;8;0;;;;;;;;;0;0;0;Tower Princess;0
