Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;Velha Guarda;10020;0;Sim;0
2;Tropa Do Bruxo;4600;0;Não;1600
3;frijoleros;3400;0;Não;100
4;BARDERO$;2100;0;Não;400
5;Nova eHope;1388;0;Não;200
