Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;BLACK「DR4GON;1800;0;Não;0
2;Babayaga;300;0;Não;0
3;абвгд;0;0;Não;0
4;kids with needs;0;0;Não;0
5;красная месть!;0;0;Não;0
