player_tag;name;trophies;best_trophies;level;clan_tag;clan_name;last_updated
#2QR292P;ツ ﹻデ═一⟿ΔЯ₡λↁΣ☯︎;13121;13121;14;#QCLPL9VQ;Tropa Do Bruxo;2026-05-03 19:08:54
#2220UQQ0UU;ツ ΔЯ₡ΛↁЄ ☯︎ ㋡ ツ;0;0;0;R0JVY98R;BLACK「DR4GON;2026-05-16 00:00:00
