Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;bubabtzkamerad;5422;0;Não;1750
2;Сызрань;3368;0;Não;1600
3;la famax 2.0;3118;0;Não;0
4;Tropa Do Bruxo;1600;0;Não;200
5;INVICTUS;0;0;Não;0
