Posicao;Nome_Cla;Fama_Atual;Pontos_Reparo;Finalizado;Pontos_Periodo
1;NORD DE FRANCE;39300;0;Não;0
2;macondo;31250;0;Não;0
3;cymru warriors;30450;0;Não;0
4;Critical THC;15850;0;Não;0
5;Tropa Do Bruxo;4800;0;Não;0
